Authors,Title,Source title,Link,Abstract
"Qader G., Junaid M., Abbas Q., Mubarik M.S.",Industry 4.0 enables supply chain resilience and supply chain performance,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139061290&doi=10.1016%2fj.techfore.2022.122026&partnerID=40&md5=ec0d63b37193f4fa23b885610030717a,"Drawing on information processing theory and resource-based view (RBV), this study examines the impact of industry 4.0 on supply chain performance (SCP). The study also explores how supply chain resilience (SCRes) and supply chain visibility (SCV) influence the association between Industry4.0 and SC performance. Cross-sectional data was collected from 458 respondents working in food, beverage, and pharmaceutical companies using a close-ended questionnaire. The study employed partial least square structural equation modeling (PLS-SEM) to analyze the hypothesized relationships. The findings confirmed a significant and substantial impact of Industry4.0 on SC performance. Similarly, findings also depicted a significant mediating role of SCRes between Industry 4.0 and SCP. Furthermore, results also found a significant moderating role of SCV in a way that it reinforced the impact of Industry 4.0 on SCRes. This study provides an understanding of Industry 4.0 applications and their role between SCRes and SCV. The results of the study suggest the adoption of Industry 4.0 technologies uplifts SC resilience and SC performance thereon."
"Balland P.-A., Broekel T., Diodato D., Giuliani E., Hausmann R., O'Clery N., Rigby D.",Reprint of The new paradigm of economic complexity,Research Policy,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138826773&doi=10.1016%2fj.respol.2022.104568&partnerID=40&md5=82cadfcf475ec38a626d5b4be7ce8a19,"Economic complexity offers a potentially powerful paradigm to understand key societal issues and challenges of our time. The underlying idea is that growth, development, technological change, income inequality, spatial disparities, and resilience are the visible outcomes of hidden systemic interactions. The study of economic complexity seeks to understand the structure of these interactions and how they shape various socioeconomic processes. This emerging field relies heavily on big data and machine learning techniques. This brief introduction to economic complexity has three aims. The first is to summarize key theoretical foundations and principles of economic complexity. The second is to briefly review the tools and metrics developed in the economic complexity literature that exploit information encoded in the structure of the economy to find new empirical patterns. The final aim is to highlight the insights from economic complexity to improve prediction and political decision-making. Institutions including the World Bank, the European Commission, the World Economic Forum, the OECD, and a range of national and regional organizations have begun to embrace the principles of economic complexity and its analytical framework. We discuss policy implications of this field, in particular the usefulness of building recommendation systems for major public investment decisions in a complex world."
"Creed W.E.D., Gray B., Höllerer M.A., Karam C.M., Reay T.","Organizing for Social and Institutional Change in Response to Disruption, Division, and Displacement: Introduction to the Special Issue",Organization Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138317395&doi=10.1177%2f01708406221122237&partnerID=40&md5=ee5a1051864f59ab3b123c0779bd0887,"In this editorial for our Special Issue, we focus on ways to better understand the role of organizations, organizing, and the organized during social and institutional change in response to disruption, division, and displacement. The papers in this Special Issue provide important insights into the hardships and heartache arising from social disruption, division, and displacement; in addition, they provide glimpses into potential ways of moving forward. To set the stage, we develop a framework building on extant literature that highlights several analytic approaches to understanding the consequences of eroding, or inadequate, institutions, the challenges of building anew when the status quo is destroyed, and what such novel and complex realities entail for organizational analysis. We offer a temporal view of responses to disruption, division, and displacement that draws on the papers in this Special Issue to identify and explain potential risks and challenges that arise at different points in time. To conclude, we provide a short summary of each paper, and call for a reinvigorated research agenda that goes beyond the excellent work featured here by broadening and deepening our focus on approaches to organizing that expressly address disruption, division, and displacement."
"Duan W., Madasi J.D., Khurshid A., Ma D.",Industrial structure conditions economic resilience,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135917272&doi=10.1016%2fj.techfore.2022.121944&partnerID=40&md5=c33849a4b23e5aee4f64790de564eafd,"This study investigates the importance of the industrial structure conditions in economic resilience. To analyse this correlation, we adopt the Lotka–Volterra model to develop a novel multi-dimensional nonlinear model to capture the dynamics of an industrial ecosystem structure. Reducing our complex model to a one-dimensional form does not lower its ability to predict the optimal conditions for robust economic resilience. This study contributes to the literature by investigating the influence of industrial structure and foreign direct investment (FDI) on economic flexibility. Using 1995–2015 input–output transaction, exchange rate volatility and FDI data, the study is divided into three phases (before, during and after the global crisis) for empirical testing. The simulated numerical results reveal that industrial network characteristics can enhance resilience and circumvent economic collapse. Furthermore, upsurges in FDI and the degree of interaction strength can enhance economic resilience. Simultaneously, exchange rate volatility impedes industrial growth and suppresses system resilience. This study's results-based implications will help policymakers and business professionals to strengthen industrial systems' resilience against local and global crises."
"Hötte K., Jee S.J.",Knowledge for a warmer world: A patent analysis of climate change adaptation technologies,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134827995&doi=10.1016%2fj.techfore.2022.121879&partnerID=40&md5=f08b49d066249c4855437d0661062b4a,"Technologies can help strengthen the resilience of our economy against existential climate-risks. We investigate climate change adaptation technologies (CCATs) in US patents to understand (1) historical patterns and possible drivers of innovation; (2) scientific and technological requirements to develop and use CCATs; and (3) CCATs’ potential technological synergies with mitigation. First, in contrast to mitigation, innovation in CCATs only slowly takes off, indicating a relatively low awareness of investors for solutions to cope with climate risks. We discuss how historical trends in environmental regulation, energy prices, and public support may have contributed to patenting in CCATs. Second, CCATs form two main clusters: science-intensive ones in agriculture, health, and monitoring technologies; and engineering-intensive ones in coastal, water, and infrastructure technologies. Analyses of technology-specific scientific and technological knowledge bases inform directions for how to facilitate advancement, transfer and use of CCATs. Lastly, CCATs show strong technological complementarities with mitigation as more than 25% of CCATs bear mitigation benefits. While not judging about the complementarity of mitigation and adaptation in general, our results suggest how policymakers can harness these technological synergies to achieve both goals simultaneously."
"Garcia-Lorenzo L., Sell-Trujillo L., Donnelly P.",Responding to stigmatization: How to resist and overcome the stigma of unemployment,Organization Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117781029&doi=10.1177%2f01708406211053217&partnerID=40&md5=1e84525741c3a093f027df8aff24dd95,"Organization research on stigma has mostly focused on the stigmatized, limiting the scope for exploring what is possible and lacking recognition of the structural conditions and unequal power relations that create and sustain stigma. Consequently, it overlooks how actors can organize to resist and potentially overcome stigmatization altogether. Addressing this question empirically, we studied the long-term unemployed in Spain using a longitudinal qualitative research design. We develop a typology of responses to stigmatization – getting stuck, getting by, getting out, getting back at and getting organized – that advances our understanding of stigma in several ways. First, our typology captures stigma as a multilevel phenomenon. Second, it makes explicit that stigma can only be understood in relation to its socio-historical contexts and unequal relations of power. Third, it captures how resisting stigma needs to be a collective enterprise and advances the importance of organizing to both challenge stigmatization and explore alternatives."
"Munir M., Jajja M.S.S., Chatha K.A.","Capabilities for enhancing supply chain resilience and responsiveness in the COVID-19 pandemic: exploring the role of improvisation, anticipation, and data analytics capabilities",International Journal of Operations and Production Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133485598&doi=10.1108%2fIJOPM-11-2021-0677&partnerID=40&md5=1974e1b8f019794b112b19f7ed7eef4e,"Purpose: This study aims to identify critical capabilities to address unforeseen and novel disruptions, such as those instigated by COVID-19, and explore their role as essential enablers of supply chain resilience and responsiveness, leading to improved performance. Design/methodology/approach: The structural equation modeling technique was employed for analyzing the proposed associations using survey data from 206 manufacturers operating during the COVID-19 pandemic in a developing country, Pakistan. Findings: Key findings show how improvisation and anticipation act distinctly yet jointly to facilitate supply chain resilience and responsiveness during the COVID-19 pandemic. Also, data analytics capability positively affects anticipation and improvisation, which mediate the effect of data analytics on supply chain resilience and responsiveness. Research limitations/implications: The findings contribute to the theoretical and empirical understanding of the existing literature, suggesting that a combination of improvisation, anticipation and data analytics capabilities is highly imperative for enhancing supply chain resilience and responsiveness in novel and unexpected disruptions. Originality/value: This is the first study to examine the impact of data analytics on improvisation and anticipation and the latter as complementary capabilities to enhance supply chain resilience and responsiveness. The empirical investigation explores the interplay among data analytics, improvisation, and anticipation capabilities for enhancing supply chain resilience, responsiveness, and performance during the unforeseen and novel disruptions, such as brought to bear by the COVID-19 pandemic."
"Lusiantoro L., Pradiptyo R.",Rebuilding disrupted supply chains: How can a self-organised social group facilitate supply chain resilience?,International Journal of Operations and Production Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133186007&doi=10.1108%2fIJOPM-08-2021-0555&partnerID=40&md5=010e3e46c4ee39dde78f923f5608108a,"Purpose: This paper seeks to explore how a self-organised social group (SOSG) can facilitate supply chain resilience (SCRES) during an emergency condition. Design/methodology/approach: A netnographic research was conducted on SONJO, an online SOSG emerging in response to problems in personal protective equipment (PPE) and food small businesses' supply chains (SCs) during the state of COVID-19 emergency in Yogyakarta, Indonesia. Qualitative data of 237,010 words were extracted from the group chats among 223 SONJO WhatsApp Group (WAG) members and were analysed using template analysis. Findings: This paper reveals five communicative acts through which the SOSG facilitates SCRES, namely supply chain (SC) knowledge sharing, networking, bridging, mapping, and mindfulness. The enactment of these communicative acts could foster SC collaboration and help rebuild and sustain the SC operations during the critical period of the pandemic. The SOSG also facilitates the SC actors to be heedful of their responsive actions and risky operations. Practical implications: This paper emphasises the need for organisations to build and maintain relationships with social communities and to extend their social capital beyond their existing SC linkages as an alternative way to survive unexpected disruptions. Originality/value: This paper offers a novel perspective to understand SCRES from an external force. It proposes that, in the face of a devastating disruption, SCRES is not a self-induced process and that the SOSG could play a pivotal role in rebuilding the disrupted SCs. It also shows how a humanitarian effort could help rebuild commercial SCs."
"van den Berg J., Alblas A., Blanc P.L., Romme A.G.L.",How Structural Empowerment Boosts Organizational Resilience: A case study in the Dutch home care industry,Organization Studies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110054714&doi=10.1177%2f01708406211030659&partnerID=40&md5=5339d2cf4be7f3dd233a84e2ce1aadb3,"Previous work has demonstrated that structural forms of empowerment tend to enhance individual and team resilience. However, there is hardly any knowledge about how structural empowerment affects organizational resilience. Moreover, a widespread (though largely untested) assumption is that, in adverse times, power and authority need to be centralized at the top to enhance organizational resilience. This paper explores the effects of empowerment on organizational resilience in an in-depth case study of a Dutch home care organization, in which employees are structurally empowered. The findings from this case study suggest that structural empowerment positively affects organizational resilience, but that this effect is contingent upon a climate of psychological safety as well as top management’s sustained commitment to structural empowerment. We move beyond the extant conceptualization of psychological safety by demonstrating its inter-level nature in the context of structural empowerment, which operates across organizational levels when employees also engage in discussions on tactical and strategic issues. Overall, this study provides an in-depth understanding of how organizations can enhance their resilience by empowering their members, thus also challenging the common wisdom about centralizing power in adverse times."
"Alexander A., Blome C., Schleper M.C., Roscoe S.",Editorial: “Managing the “new normal”: the future of operations and supply chain management in unprecedented times”,International Journal of Operations and Production Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134424523&doi=10.1108%2fIJOPM-06-2022-0367&partnerID=40&md5=7e5672ecc841ea90564c251162b999ba,"Purpose: The purpose of this article is to discuss the theme of managing operations and supply chains in the so-called “new normal”. It reflects the themes emerging from recent research and how these might be conceptualized. Design/methodology/approach: The article reviews research presented at the EurOMA 2021 conference and eight papers subsequently developed into full journal papers. It considers conceptual themes contained in these papers and how they reflect recent turbulent events in the external business environment. Findings: The article notes the themes of resilience in relation to the Covid-19 pandemic, environmental sustainability, especially climate change and the Sustainable Development Goals, and the significance of digital technologies. Additional themes relating to inter-organizational relationships, complexity and manager cognition are also considered. In order to provide useful insights for future disruptions, general concepts on epistemology and responsiveness are described. Originality/value: The article discusses general principles across cutting-edge research in operations and supply chain management, to support improved performance to add economic and social value."
