Source title,Abstract,Authors,Title,Link
Rangelands,"• Sustainable beef is a socially responsible, environmentally sound, and economically viable product that prioritizes planet, people, animals, and progress. Beef sustainability requires awareness of the complex relationships among these three pillars. • In practice, sustainability to beef farmers and ranchers is about taking care of the animals, land, and water, while being a good neighbor and community member, and maintaining profitability. The beef industry has made improvements across these three areas of sustainability, in all sectors of the industry, from the cow-calf level to the packer phase. • The removal of beef cattle from grazing lands would effectively eliminate the beef industry, which would have a ripple effect on other industries that serve as input suppliers across the beef supply chain, while also eliminating critical social, economic, and environmental services provided by grazing cattle. • We describe the science on the economic, social, and environmental benefits of grazing cattle on grazing lands, and discuss the sustainability impacts of eliminating the beef industry in the U.S.","Oerly A., Johnson M., Soule J.","Economic, social, and environmental impacts of cattle on grazing land ecosystems",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123621891&doi=10.1016%2fj.rala.2021.12.003&partnerID=40&md5=5f0a7ab40feb3c8b0a470c65aa529335
Environmental Footprints and Eco-Design of Products and Processes,"A blockchain can be thought of as the shared distributed ledger type of technology that stores the information of every transaction in its network. The blockchain has emerged with vast diversity of applications in the economical and non-economical areas. Blockchain technology has the potential to provide a robust span of solutions to the issues faced in the implementation of smart cities. As such, it displays the potential to create smart types of contracts more securely, by eliminating the need for centralized authority. A blockchain can be envisioned as a secure decentralized database that stores information utilizing a peer-to-peer type of network. The blockchain can be seen as a type of special stack, where blocks could be placed or stacked on top of each other. Subsequent blocks composing the blockchain have to be linked to each other by cryptographic type of hash. In contemporary times an increasing interest in the concept of blockchain technology has been observed. This secondary research utilizes detailed literature review of multifaceted sources of information, such as peer-reviewed and quality academic journal articles from renowned databases. With the introduction of blockchain, numerous fields like banking, finance, healthcare, and supply chain shall experience positive effects. The sustainability of smart cities can be further enhanced and ensured with the application of blockchain technology. One major aspect wherein blockchain can play an essential role is real estate and smart cities. Blockchain and Smart Cities concepts are fated to influence the future of our planet in numerous ways. Incorporating blockchain into the expansion of Smart Cities will make it possible to have a cross-cutting platform that connects the cities’ different services, adding greater transparency and security to all services and processes.","Riđić O., Jukić T., Riđić G., Mangafić J., Bušatlić S., Karamehić J.","“Implementation of Blockchain Technologies in Smart Cities, Opportunities and Challenges”",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117941607&doi=10.1007%2f978-981-16-6301-7_4&partnerID=40&md5=6bf6cf5ecb698c8da5072765704192ae
Sustainable Futures,"A blood supply chain (BSC) is a very long and complex sequence of processes heavily sequential. If one of them is executed in an incorrect way and this error is not detected, it leads to an incorrect transfusion outcome, that could seriously affect patients. For this reason, there is a strong need to identify and prevent adverse events along the entire BSC, in order to reduce their probability of occurrence. This also helps improving BSC sustainability from both the environmental and the social perspectives. The paper extends an existing healthcare supply chain risk management framework already applied to the blood transfusion process to address multiple BSC echelons and identify the cause and effect relationships among the adverse events that might occur. To this end, Fault Tree Analysis is added to the risk management tools part of the original framework as well as Key Performance Indicators are applied to detect risky event manifestation. The first application of the proposed approach to a blood bank and a hospital ward revealed its effectiveness in identifying the BSC activities most subjected to risk. Also, connections between adverse events and causal relationships among their sources were found, leading to understanding whether an adverse event is caused by a risk source in the same echelon where it occurs or by the concurrent manifestation of several adverse events upstream in the BSC. Future research will be devoted to numerically evaluate probability of occurrence and impact of risky events as well as integrating the framework with a classification of criticalities based on their severity.","Cagliano A.C., Grimaldi S., Rafele C., Campanale C.",An enhanced framework for blood supply chain risk management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135876368&doi=10.1016%2fj.sftr.2022.100091&partnerID=40&md5=3782ef3e700ca801af46dc4ec646e9ae
Sustainability (Switzerland),"A business organization needs a supply chain performance management system (SCPMS) to build an effective and efficient supply chain (SC) that will provide much-needed sustainability. The performance evaluation of supply chain management (SCM) is difficult and needs consideration of several important enablers. In such situations, the development of an SCPMS can facilitate understanding and integration among the SC partners. The SCPMS is influenced by many enablers that play a positive role; hence, the study of these enablers becomes significant. Therefore, the purpose of this study was to identify and rank the key SCPMS enablers. The identified SCPMS enablers were modeled using interpretive structural modeling (ISM) and ranked through an interpretative ranking process (IRP). The SCPMS enablers were further categorized using MICMAC. The results show that “SCPMS awareness”, “top management commitment”, and “financial commitment towards SCPMS” must be controlled for sustainability as they are independent enablers. “Benchmarking”, “appropriate performance matrix”, and “employee commitment” were the three top enablers.",Qureshi M.R.N.M.,Evaluating and Prioritizing the Enablers of Supply Chain Performance Management System (SCPMS) for Sustainability,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138897438&doi=10.3390%2fsu141811296&partnerID=40&md5=1b29eb65365e004733c6f6a87c9d889c
"Resources, Conservation and Recycling","A circular economy (CE) aims to decouple human activities from economic activities and resource use, and its overall goal is reducing or avoiding negative environmental externalities. The newly developed Circular Economy Lifecycle Assessment and Visualization (CELAVI) framework simulates changes in supply chain environmental impacts as it transitions toward circularity. This study expands CELAVI by incorporating detailed spatial resolution and real-world road routes connecting all facilities within the system. The case study on end-of-life decision making of wind turbine blades in the states of Iowa and Missouri explores how supply chain circularity and environmental impacts are affected by pathway costs and level of wind turbine installations. It demonstrates how high circularity costs might be beneficial for circularity transitions given revenue generated from circular pathways. Finally, impacts have important contributions to the supply chain design and thus show the importance of including detailed spatial resolution in CELAVI and CE studies in general.","Ghosh T., Hanes R., Key A., Walzberg J., Eberle A.",The Circular Economy Life Cycle Assessment and Visualization Framework: A Multistate Case Study of Wind Blade Circularity in United States,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133947061&doi=10.1016%2fj.resconrec.2022.106531&partnerID=40&md5=a70ee669280ea164cfe1012c6abe5ea5
Transportation Research Part E: Logistics and Transportation Review,"A circular economy (CE) is increasingly recognized as a more environmentally sustainable alternative to the dominant linear take-make-dispose economic model. We empirically investigate the effect of circular supply chain management (CSCM) on cost and financial performance in China, which has established the world's largest system of eco-industrial parks (EIPs) to promote CE over the last decade. We combine the Natural Resource-Based View (NRBV), Contingent NRBV and the literature on CSCM to develop a conceptual model and test it using survey data collected from 255 Chinese manufacturing firms. The results show that CSCM, when exercised as a unified strategy, has a significant positive effect on cost and financial performance. Firms located within EIPs adopt CSCM at higher levels as compared to firms located outside EIPs. Nevertheless, the contextual factor of being located within an EIP does not moderate the CSCM practice-performance relationship, suggesting that performance is driven by practices rather than firms’ locations. These results were affirmed by post-survey participant validation in three focus group meetings and six face-to-face interviews. Our findings contribute to sustainability literature by offering a new construct and measurement items relevant to CSCM and provide practical insights to guide a transition to a CE.","Farooque M., Zhang A., Liu Y., Hartley J.L.",Circular supply chain management: Performance outcomes and the role of eco-industrial parks in China,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121905946&doi=10.1016%2fj.tre.2021.102596&partnerID=40&md5=83900425876ae7e66fc84c576171a963
Journal of Cleaner Production,"A circular supply chain consists of emission and wastes minimization technologies with a remarkable gain in profit, which is the aim of any industry that is concerned about environmental conservation. One of the most critical hurdles to the transition to sustainability is waste management. This study proposes a circular sustainable integrated model in a plastic reforming industry with investment in 3D printing techniques to minimize waste, emission reduction, and ordering cost reduction and it led to optimal profit. The customer's demand and the unit profit depend on the circularity index of the item. This paper looked at three scenarios with partial backlogging: (a) linear demand versus linear unit profit; (b) linear demand versus exponential unit profit; and (c) linear demand versus logistic unit profit. An algorithm was used to optimize the profit of the plastic reforming industry with optimal values of ordering quantity, circularity index, and investment in waste minimization, emission reduction, and ordering cost under carbon cap policy. This model establishes that the plastic reforming industry will get more profit and an optimal level of circularity index when it works with high efficiency of emission and waste minimization technologies under low investment, a rise in the carbon tax, and less opportunity cost. Sensitivity analysis and managerial framework in the plastic reforming industry were given to realize the sensitivity of decision variables with variation in key parameters.","Thomas A., Mishra U.",A sustainable circular economic supply chain system with waste minimization using 3D printing and emissions reduction in plastic reforming industry,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125649141&doi=10.1016%2fj.jclepro.2022.131128&partnerID=40&md5=bd7cbc258ebe9945b96e530bef88db17
Technological Forecasting and Social Change,"A digital twin is an integration of virtual and physical systems using disruptive technologies. More precisely, it is a method of developing sustainable, intelligent manufacturing systems for attaining robust quality, reducing time, and customized products using real-time information throughout the product life cycle. This paper presents a systematic literature review of 98 research papers on various digital supply chain twin dimensions with sustainable performance objectives. The selected papers were reviewed and classified into three broad categories: components of the digital twin, applications in the manufacturing supply chain, and sustainability. Based on the review and future perspectives from the study, we suggest that advancements in technologies such as IoT, cloud computing, and blockchain have increased the potential of digital twin applications in the supply chain. The results indicate that a digital supply chain twin should include the things and humans from the entire supply chain and not be restricted to the local manufacturing systems. Based on our review findings, we present a sustainable digital twin implementation framework for supply chains. The proposed framework will guide future practitioners and researchers.","Kamble S.S., Gunasekaran A., Parekh H., Mani V., Belhadi A., Sharma R.","Digital twin for sustainable manufacturing supply chains: Current trends, future perspectives, and an implementation framework",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121967867&doi=10.1016%2fj.techfore.2021.121448&partnerID=40&md5=99f5654ba0f8db91e2240d79b8c3f17c
Electronics (Switzerland),"A food shortage, which has increased with the climate crisis, will be one of the biggest problems of the world, together with water scarcity, in the future and will damage the sustainability of the food supply system. With the effect of the COVID-19 pandemic, food resources are decreasing, and food prices are rising all over the world. The decrease in food sources increases the importance of food tracking even more. The exorbitant price increases after the COVID-19 pandemic are the most concrete indicators of this. Blockchain-based food tracking systems will be of critical importance because they will prevent exorbitant price increases with their contribution to food tracking processes, such as reliability and transparency. In this study, the establishment of a blockchain-based food tracking system in Turkey, its operation, and its results will be discussed. It was concluded that 97.54% of the participants using the established system found the application useful and wanted such an application to become widespread. In addition, comparing the performance data of the established blockchain-based system with other blockchain infrastructures, a value of 0.038 s for latency is 435 times better than Ethereum, one of the most popular blockchain infrastructures. A transmission per second value of 285, reception per second value of 335, and CPU load rate value of 19.22 are obtained with the proposed system.",Mendi A.F.,Blockchain for Food Tracking,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137404706&doi=10.3390%2felectronics11162491&partnerID=40&md5=4e7f595f32b804a6fb05140b8e9db217
International Journal of Business and Society,"A growing body of research emphasises sustainable supply chain management (SSCM) in contrary with limited studies exploring role of information technology (IT) in sustainable supply chain activities. Moreover, little is known on SSCM implementation in niche industries like fashion/textile-apparel industry. As most studies concentrated on investigating IT impact on business performance and profitability in supply chain, integrating sustainable practice with IT is still scarce. The aim of this study is to identify current SSCM practices with the focus on IT role in supporting SSCM in fashion industry. For that purpose, this study applies the sustainable key practices framework discussed in the literature of SSCM and adopted previous study framework that differentiates four IT roles for sustainability. Using the proposed frameworks, interviews were conducted with five fashion practitioners that are currently engaged with SSCM practices. The findings from this study highlight the existence of SSCM practices in fashion industry. Finally, this finding enhances the current understanding of how IT can support SSCM practices and helps future research in exploring the IT implementation, challenges and benefit towards SSCM.","Kaur J., Azmi A., Majid R.A.",STRATEGIC DIRECTION OF INFORMATION TECHNOLOGY ON SUSTAINABLE SUPPLY CHAIN PRACTICES: EXPLORATORY CASE STUDY ON FASHION INDUSTRY IN MALAYSIA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129160476&doi=10.33736%2fijbs.4628.2022&partnerID=40&md5=49d2b1310704762e7093329c80c54e98
"International Conference on Harbour, Maritime and Multimodal Logistics Modelling and Simulation","A logistics platform represents a fundamental ring of the supply chain; it receives, stores and delivers goods trying to face the organizational problems of various type (economic, financial, technological, production, logistics, etc), experimenting with new organizational solutions aimed at making its production and logistics structure more efficiently. Its efficiency depends on many factors and is important because costs affect the production or distribution accounts and ultimately fall on the consumer (Gattuso et al., 2014a). In a context more and more addressed to the search for solutions able to increase productivity and pursue sustainability, the paper aims to improve the performance of Logistics platform, and therefore of the Supply Chain, by using freight advanced handling systems of the latest generation. After an analysis of the logistics platform standard asset and the related handling means used for the goods movement, the attention is focused on a smart organizational and functional structure (fleet management) with automated handling vehicles. The paper aims to evaluate the impacts in terms of time in a scenario of partial and total automation of a system using a simulation approach.","Gattuso D., Pellicanò D.S.",Advanced management in a logistics platform equipped with automated handling means,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139014363&doi=10.46354%2fi3m.2022.hms.001&partnerID=40&md5=3f987229dcfaf09a5bb68310e834c441
Frontiers in Environmental Science,"A low-carbon supply chain is generally a clean practice to achieve carbon peak and neutralization; it transforms supply chain management into a green economy, aiming to reduce energy consumption, reduce pollution and achieve sustainable development in all parts of the supply chain. However, there are few specific reviews of low-carbon supply chains to date. Therefore, this article provides a comprehensive analysis of the literature on low-carbon supply chains, explores the current knowledge system, evolution trend of topics, and future research directions, and enriches the green economy framework. A systematic analysis was conducted using bibliometric and content analysis. Up to 1,811 articles from 2003 to 2021 were selected, discussed, and analyzed. This study found that the low carbon supply chain is a growing research topic. Some influential authors, the geographical distribution of articles, and subject categories in this field were also identified. Next, five clusters, which are logistics management, carbon accounting, driving forces, sustainability management, and barriers, were defined using exhaustive content analysis. The evolution trend of significant topics, mainly including global value chain, additive manufacturing, deterioration, and decarbonization, was explored. Finally, we proposed a future research agenda for low-carbon supply chains and further deepened the green economy’s knowledge structure. Copyright","Luo J., Huang M., Bai Y.","Visual analysis of low-carbon supply chain: Development, hot-spots, and trend directions",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138434221&doi=10.3389%2ffenvs.2022.995018&partnerID=40&md5=faffd59b3d3265b529b28f6877fc2560
Environmental Science and Pollution Research,"A massive increase in the use and production of masks worldwide has been seen in the current COVID-19 pandemic, which has contributed to reducing the transmission of the virus globally. This paper aims to evaluate the life cycle environmental impacts of disposable medical masks to identify the life cycle stages that cause the highest impact on the environment. A further goal is to estimate the total environmental impacts at the global level in 2020. The inventory data was constructed directly from the industry. The system boundary of the study is from cradle to grave comprising raw material extraction and processing, production, packaging, distribution, use, and disposal as well as transport and waste management along the supply chain. Eleven environmental impacts have been estimated. The results suggest that the global warming potential of a disposable medical mask is 0.02 g CO2-eq. for which the main contributor is the raw material supply (40.5%) followed by the packaging (30.0%) and production (15.5%). Sensitivity analysis was carried out to test the environmental impacts. In total, 52 billion disposable medical masks used worldwide consumes 22 TJ of energy in 2020. The global warming potential of disposable medical masks supplied in a year of the COVID-19 pandemic is 1.1 Mt CO2 eq. This paper assessed the hotspots in the medical mask. The findings of this study will be of interest to policymakers, global mask manufacturers, and users, allowing them to make more informed decisions about the medical mask industry. Graphical abstract: [Figure not available: see fulltext.]",Atılgan Türkmen B.,Life cycle environmental impacts of disposable medical masks,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119952059&doi=10.1007%2fs11356-021-17430-5&partnerID=40&md5=45d526fc9fe5b3b5ff7b3c9630303d9e
Lecture Notes in Mechanical Engineering,A new Reconfigurable Machine Tools (RMT) based on an innovative modular and scalable axis driver is presented. The elements and the characteristics of the RMT are analysed and discussed. A comparison between the conventional and the new RMT by using the Entity-Relationship model is reported. The features of the new RMT enable a new manufacturing organization based on manufacturing capacity sharing that increases environmental sustainability.,Bruzzone A.A.,Advanced Reconfigurable Machine Tools for a New Manufacturing Business Model,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119413027&doi=10.1007%2f978-3-030-90700-6_4&partnerID=40&md5=c81bf294e16afa5ba3cdb00177d20762
Processes,"A selection of suitable sustainability management systems (SMS) is a major part of supply chain strategies to create a competitive advantage, reduce total costs, and manage long-term sustainability. A framework and method for prioritizing supply chain SMSs are presented in this research. Analytic hierarchy process (AHP) is the most common method for alternative selection in multi-criteria decision-making (MCDM). However, complex information is mixed with ambiguity and uncertainty, which makes decision makers unable to use precise or crisp numbers, so fuzzy numbers are presented to remedy this difficulty. Therefore, this research proposes a fuzzy additive preference programming (FAPP) to select the optimum SMS for a supply chain. FAPP method can produce the unique normalized optimal priority vector of fuzzy pairwise comparison matrices for SMS selection effectively with linear constraints. The additive linear constraints can eliminate the weaknesses of existing methods and equalize the upper and lower triangular fuzzy judgments. In addition, the proposed method can identify abnormal pairs of fuzzy judgments that cause inconsistency. The proposed methodology can prioritize the key criteria which lead to the selection of the most appropriate SMS. An example of SMS selection in a rubber factory demonstrates the feasibility and validity of the proposed method.","Panjavongroj S., Phruksaphanrat B.",Selection of Supply Chain Sustainability Management System by Fuzzy Additive Preference Programming Method,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132587032&doi=10.3390%2fpr10061189&partnerID=40&md5=d2349f958cb8498a0d8d8e11ea7b7ab0
Strategic Change,"A sustainability-oriented innovation (SOI) in the leather-making process is key for inducing a sustainable shift in the leather supply chain. Fashion is an industry that is highly vulnerable to sustainability disruptions and, at the same time, as a fertile ground for SOIs. As a result of increasing pressures from the market, several fashion brands have started to recognize the potential of SOIs to induce a positive transformation for the whole supply chain. The present paper discusses the case of a SOI in the leather industry by analyzing the perception of different actors in the leather-accessories supply chain with three theoretical lenses. Findings suggest that focal companies should pay attention to how to manage their business relationships with supply chain actors and leverage positive and collaborative relationships rather than using coercive methods to extend sustainability along the supply chain.","Brun A., Ciccullo F.",Factors affecting sustainability-oriented innovation in the leather supply chain,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129365415&doi=10.1002%2fjsc.2500&partnerID=40&md5=e751bfbdf89d8376fb80997939af6d52
Sustainability (Switzerland),"A sustainable food system is a key target of the global Sustainable Development Goals (SDGs). The current global food system operates on market mechanisms that prioritise profit maximisation. This paper examines how small food businesses grow and develop within grassroot economies that operate on different market mechanisms. Focusing on artisan food producers and farmers’ markets, this research highlights the potential of resilient, small-scale, diverse markets as pathways to sustainable food systems. An applied critical realist, mixed-methods study was conducted at a macro (Irish food industry), meso (farmers’ markets in the region of Munster, Ireland) and micro (artisan food producers and their businesses) level. The resulting framework provides a post-growth perspective to sustainability, proposing that farmers’ markets represent an alternative market structure to the dominant industrial market, organised on mechanisms where producers ‘Mind what they make’ and ‘Make peace with enough’. In their resilience, these markets can provide pathways for structural change. This implies a call to action to reorientate policies targeting small food businesses to move beyond the concept of firms as profit-maximizing enterprises and to instead focus on a local food policy framework that reinforces the regional ‘interstices’ within which small food businesses operate to promote diversity, resilience and sustainability in the food system.","Connolly R., Bogue J., Repar L.",Farmers’ Markets as Resilient Alternative Market Structures in a Sustainable Global Food System: A Small Firm Growth Perspective,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138749780&doi=10.3390%2fsu141811626&partnerID=40&md5=080df5bd151d1eb79a1f6b6cad2013ba
International Journal of Food Studies,"A sustainable Short Food Supply Chain (SFSC) requires collaboration among all actors, which nowadays is facilitated by information and communication technologies (ICT). However, not all SFSC stakeholders network with others in this way, and it is not clear what will draw them to ICT interaction. A simple, user-friendly website, the SMARTCHAIN Innovation Platform, evolving since March 2019, may facilitate interaction and cooperation among SFSC stakeholders. This article presents the Platform's development and evaluates its ecacy and impact by analysing data from Google Analytics (GA) and other sources. Primary Platform features promote communication and information sharing: these are the 1) Innovation Hubs in 9 European countries, 2) Inventories including 150 SFSC innovations and 50 SFSC initiatives, 3) Resources databases of Publications and Weblinks, and 4) Training section. GA showed that visitors to the Platform increased slowly in the 16 months since its start, and the number of page views increased with the amount of time on the Platform. The most visited page of the Platform was the information-providing Innovation Inventory. Most Platform users were in partner countries of the SMARTCHAIN project, but not all Innovation Hubs had high numbers of users. Most users arrived at the Platform by direct link, but LinkedIn was the most important originating social network. Taken together, these data suggest growth potential for an easy-to-use website that provides useful and up-to-date information but little inclination for SFSC stakeholders to use an online Platform for communication.","Chrysanthopoulou F., Lameris M., Greil G., Vudragovic D., Flynn K.",An Online Innovation Platform to Promote Collaboration and Sustainability in Short Food Supply Chains,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135391770&doi=10.7455%2fijfs%2f11.SI.2022.a9&partnerID=40&md5=e15fa83ea96ff70f6687b2b426ddcacd
Journal of Intelligent and Fuzzy Systems,"A sustainable supply chain (SSC) is vital for company's sustainability success, so it is imperative to identify and prioritize SSC's design requirements (DRs) for better SSC planning. For customer-centric markets, the customer requirements (CRs) need to be integrated into SSC's DRs. This paper thus proposes a customer-centric approach based on Analytic Network Process (ANP), Quality Function Deployment (QFD), Grey Relational Analysis (GRA), and Pythagorean Fuzzy Set (PFS) to rank SSC's DRs, considering CRs and information ambiguity. The PFS is combined with ANP, QFD, and GRA to better handle uncertainty in the SSC. The Pythagorean fuzzy ANP is applied to analyze the correlations among the sustainable CRs and determine the corresponding weights. The sustainable CRs are transformed into the DRs using the Pythagorean fuzzy QFD. The relationships among the resulting DRs are analyzed through Pythagorean fuzzy GRA to prioritize DRs. The approach is validated through a case study. The results obtained in this paper shows that the proposed method is efficient to prioritize DRs of SSC with the consideration of sustainable CRs under uncertain environment. The novelties of proposed method are that it not only offers a customer-oriented SSC planning method through the integration of ANP, QFD and GRA, but also can reflect the uncertain information with a broader membership representation space via PFSs. Based on the proposed method, the decision-maker can conduct comprehensive analysis to prioritize DRs and design appropriate SSC to fulfill CRs under uncertain environment.","Peng Z., He L., Xie Y., Song W., Liu J., Ming X., Goh M.",A Pythagorean fuzzy ANP-QFD-Grey relational analysis approach to prioritize design requirements of sustainable supply chain,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127434041&doi=10.3233%2fJIFS-212131&partnerID=40&md5=4781f7c06b294c6766d1777ca22d701d
Resources Policy,"A sustained and guaranteed supply of rare earth (RE) minerals is imperative to a country's national security to sustain its manufacturing, defence, and high-tech industry sectors. Although the term is referring to “rare”, it does not mean that they are not abundant, but rather the difficulties to extract these minerals and the highly mixed nature of the deposits make them rare. RE minerals' production has been closely monopolised by Chinese mining companies which have create concerns on their supply risk and resilience in the future. This study critically reviewed 1) the existing approaches and theories used to evaluate the RE supply security and 2) the pathways to achieve RE supply security and their existing drivers and barriers to implementation. Literature and reports were collected from Web of Science, Scopus, and Google search which resulted in 323 articles included in the final database and 67 articles for the critical analysis. Our findings indicate the need to integrate existing approaches and theories such as resilience, material criticality, and risk theory to overcome their individual limitations. This study also suggested four pathway categories that can improve RE supply security including 1) circular economy strategies, 2) supply chain agility, 3) building domestic supplies, and 4) exploring beyond terrestrial mining. A preliminary causal loop diagram (CLD) was developed based on the factors identified during the review to depict the complexity and dynamics of the different system elements affecting the RE supply security.","Salim H., Sahin O., Elsawah S., Turan H., Stewart R.A.",A critical review on tackling complex rare earth supply security problem,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127140540&doi=10.1016%2fj.resourpol.2022.102697&partnerID=40&md5=3a031e7f335a852e501e21ee3a3cd6c6
